day,time,src,dst,relation
0.0,0.0,1,16,2
0.0,0.0,1,20,2
0.0,0.0,1,19,2
0.0,0.0,1,18,2
0.0,0.0,1,17,2
0.0,0.0,1,26,2
0.0,0.0,1,25,2
0.0,0.0,1,24,2
0.0,0.0,1,23,2
0.0,0.0,1,22,2
0.0,0.0,1,27,2
0.0,0.0,1,28,2
0.0,0.0,1,35,2
0.0,0.0,1,34,2
0.0,0.0,1,33,2
0.0,0.0,1,31,2
0.0,0.0,1,32,2
0.0,0.0,1,29,2
0.0,0.0,1,30,2
0.0,0.0,1,45,2
0.0,0.0,1,43,2
0.0,0.0,1,44,2
0.0,0.0,1,42,2
0.0,0.0,1,40,2
0.0,0.0,1,41,2
0.0,0.0,1,39,2
0.0,0.0,1,38,2
0.0,0.0,1,37,2
0.0,0.0,1,36,2
0.0,0.0,2,1,1
0.0,0.0,2,1,1
0.0,0.0,2,1,1
0.0,0.0,2,1,1
0.0,0.0,3,1,1
0.0,0.0,3,1,1
0.0,0.0,3,1,1
0.0,0.0,3,1,1
0.0,0.0,4,1,1
0.0,0.0,4,1,1
0.0,0.0,4,1,1
0.0,0.0,4,1,1
0.0,0.0,5,1,1
0.0,0.0,5,1,1
0.0,0.0,5,1,1
0.0,0.0,5,1,1
0.0,0.0,6,1,1
0.0,0.0,6,1,1
0.0,0.0,6,1,1
0.0,0.0,6,1,1
0.0,0.0,7,1,1
0.0,0.0,7,1,1
0.0,0.0,7,1,1
0.0,0.0,7,1,1
0.0,0.0,8,1,1
0.0,0.0,8,1,1
0.0,0.0,8,1,1
0.0,0.0,9,1,1
0.0,0.0,9,1,1
0.0,0.0,10,1,1
0.0,0.0,10,1,1
0.0,0.0,10,1,1
0.0,0.0,10,1,1
0.0,0.0,11,1,1
0.0,0.0,11,1,1
0.0,0.0,11,1,1
0.0,0.0,11,1,1
0.0,0.0,12,1,1
0.0,0.0,12,1,1
0.0,0.0,12,1,1
0.0,0.0,12,1,1
0.0,0.0,13,1,1
0.0,0.0,13,1,1
0.0,0.0,13,1,1
0.0,0.0,13,1,1
0.0,0.0,13,40,1
0.0,0.0,14,1,1
0.0,0.0,14,1,1
0.0,0.0,14,1,1
0.0,0.0,14,1,1
0.0,0.0,15,1,1
0.0,0.0,15,1,1
0.0,0.0,15,1,1
0.0,0.0,15,1,1
0.0,0.0,21,1,1
0.0,0.0,21,1,1
0.0,0.0,35,157,2
0.0,0.0,35,161,2
0.0,0.0,35,162,2
0.0,0.0,35,160,2
0.0,0.0,35,159,2
0.0,0.0,35,158,2
0.0,0.0,35,168,2
0.0,0.0,35,167,2
0.0,0.0,35,166,2
0.0,0.0,35,164,2
0.0,0.0,40,52,2
0.0,0.0,40,53,2
