userId,sex,timePassedValidation,ageGroup,fans_count,follows_count,weibos_count,label
210,f,,,6780,228,968,1
211,m,,,17000,1,567,0
212,f,,,964,90,94,1
213,m,,,28000,192,16881,0
214,m,,,13000,105,1535,0
215,m,,,11000,1978,4106,1
216,m,,,177000,0,2439,0
217,m,,,2229,51,235,0
218,m,,,3,132,0,1
219,f,,,49,63,162,1
220,m,,,92,29,108,0
221,f,,,51,297,404,0
222,m,,,285,3246,316,0
223,m,,,74,1670,7,0
224,m,,,373,991,2891,0
225,m,,,218,537,462,0
226,m,,,64,266,1448,0
227,m,,,5,53,7,0
228,f,,,47,766,148,0
229,f,,,60,450,90,0
230,m,,,2477,168,212,0
231,f,,,4748,1003,539,0
232,m,,,125000,23,1646,0
233,m,,,110000,812,719,0
234,m,,,621,10,16,0
235,f,,,121000,128,966,0
236,f,,,150000,13,12064,0
237,m,,,25000,270,1508,0
238,m,,,3967,1005,3114,0
239,m,,,37,136,74,0
240,f,,,28,493,29,0
241,m,,,1,33,0,0
242,m,,,595,5080,171,0
243,m,,,2,182,10,1
244,m,,,29,783,44,0
245,f,,,1,99,2,0
246,m,,,56,369,23,0
247,m,,,63,113,74,0
248,m,,,190,313,64,0
249,m,,,247,3284,116,0
250,f,,,13000,518,141,0
251,f,,,49000,71,156,0
252,f,,,47000,396,17452,0
253,f,,,36000,125,6572,0
254,m,,,563000,13,11177,0
255,f,,,13000,385,1653,0
256,f,,,39000,144,122,0
257,f,,,28000,81,4095,0
258,m,,,2866,276,578,0
259,m,,,445,229,104,0
260,f,,,1217,706,761,0
261,f,,,247,344,1771,0
262,f,,,1567000,406,7055,0
263,m,,,176000,2344,13105,0
264,f,,,1,16,7,0
265,f,,,7,34,64,0
266,m,,,430,229,600,0
267,f,,,42000,79,3391,0
268,m,,,3,75,0,1
269,m,,,80,1816,2454,0
270,f,,,219,118,411,0
271,f,,,696000,361,99,0
272,m,,,254000,1788,15782,0
273,m,,,479000,324,16848,1
274,f,,,418000,670,1896,0
275,m,,,925000,112,2277,1
276,m,,,64,49,154,0
277,f,,,24000,298,24758,1
278,f,,,13000,286,7048,0
279,f,,,116000,83,72779,1
280,m,,,56000,54,646,0
281,f,,,13,336,12,0
282,f,,,671,2014,17,0
283,m,,,389,3686,777,0
284,m,,,85,196,0,0
285,f,,,227,2385,9,1
286,m,,,206,912,23,0
287,f,,,6140,191,600,0
288,m,,,16000,29,574,1
289,m,,,4071,182,524,0
290,f,,,402,2572,9,0
291,f,,,82,275,15,0
292,m,,,63,2389,2,1
293,m,,,162,3522,2,1
294,m,,,114,2122,1,1
295,m,,,104,4334,4,0
296,m,,,16,2233,2,1
297,m,,,101,2575,1,1
298,f,,,134,2083,3,1
299,f,,,39,686,4,1
300,m,,,60,1300,1,1
301,m,,,105,4701,11,0
302,m,,,94,4512,21,0
303,m,,,12,471,0,1
304,f,,,40,1449,9,1
305,m,,,122,3069,254,1
306,m,,,299,3238,135,0
307,m,,,201,2307,70,0
308,f,,,29,55,13,1
309,f,,,122,607,252,0
310,f,,,21,68,0,1
311,f,,,12,67,0,1
312,m,,,185,3407,163,0
313,m,,,275,3169,101,0
314,f,,,273,320,370,0
315,m,,,223,2892,1227,0
316,m,,,509,896,922,0
317,m,,,23,538,11,0
318,m,,,190,1489,86,0
319,f,,,65,19,1,0
320,m,,,12,118,1,1
321,f,,,64,2195,1,1
322,f,,,56,3009,309,0
323,m,,,48,1021,1,1
324,f,,,86,424,95,0
325,m,,,31,234,26,0
326,f,,,334,4307,3619,0
327,f,,,90,623,7,0
328,f,,,48,3,1,0
329,f,,,1431,202,1,1
330,m,,,29,44,114,0
331,f,,,122,276,141,0
332,f,,,26,162,6,1
333,m,,,60,98,4,0
334,m,,,405,372,4,0
335,m,,,18,60,0,1
336,m,,,16,49,207,1
337,m,,,147,46,1,0
338,m,,,51,96,52,0
339,f,,,111,120,29,0
340,f,,,155,639,67,0
341,f,,,36,141,8,0
342,f,,,16,36,1,1
343,f,,,89,844,908,0
344,f,,,54,189,42,1
345,f,,,266,529,855,0
346,m,,,90,2537,6,0
347,m,,,94,2206,1,1
348,f,,,65,1247,3,1
349,m,,,99,2962,1,1
350,f,,,64,568,3,1
351,f,,,544,62,543,0
352,m,,,9505,556,2648,0
353,f,,,151,354,787,0
354,f,,,4601,180,1178,0
355,f,,,431,235,174,0
356,f,,,1267,40,18,0
357,f,,,172000,31,7723,1
358,f,,,237000,20,3723,0
359,m,,,739000,1013,5687,0
360,f,,,605000,229,1735,0
361,f,,,70000,393,429,0
362,f,,,70000,90,2092,0
363,f,,,1031000,78,18559,0
364,f,,,1637,94,172,0
365,m,,,113000,128,4915,0
366,f,,,114000,200,736,0
367,f,,,33000,649,1048,0
368,f,,,144000,644,5856,0
369,f,,,155000,694,1469,0
370,m,,,168000,400,3791,1
371,f,,,277000,502,1332,0
372,f,,,135000,490,1562,0
373,f,,,28000,647,2266,0
374,f,,,55000,255,1086,0
375,f,,,281000,94,983,0
376,f,,,554000,17,7378,0
377,f,,,13000,288,409,0
378,f,,,130000,305,1133,0
379,f,,,364000,384,1513,0
380,f,,,120000,1075,1938,0
381,f,,,25000,409,1066,1
382,f,,,14000,597,164,0
383,f,,,298000,654,4685,0
384,f,,,76000,211,836,0
385,f,,,15000,713,3872,0
386,f,,,144,567,535,0
387,f,,,490000,16,662,1
388,f,,,882,315,180,0
389,f,,,1843,644,113,0
390,f,,,37,236,0,1
391,f,,,23,107,0,1
392,f,,,1213000,287,21834,0
393,f,,,594000,959,184099,1
394,f,,,0,198,0,0
395,f,,,69,498,25,0
396,f,,,1,55,0,0
397,f,,,37,184,3,0
398,f,,,31000,11,2323,1
399,f,,,37000,12,140,1
400,f,,,783000,519,135522,1
401,f,,,81000,58,12998,1
402,m,,,834000,57,24957,1
403,f,,,1008,138,817,0
404,f,,,174,615,158,1
405,f,,,1252,349,1018,0
406,f,,,44,123,12,0
407,f,,,14,57,34,0
408,f,,,13,96,4,0
409,f,,,205,144,350,0
410,f,,,138,927,459,0
411,f,,,217,737,206,0
412,f,,,1482,1239,2175,0
413,f,,,239,181,357,0
414,f,,,1383,76,628,0
415,m,,,1,403,39,0
416,m,,,17000,112,4894,0
417,f,,,8237,5,168,0
418,f,,,597000,82,3750,0
419,m,,,142000,69,13856,0
420,f,,,24000,547,59445,1
421,m,,,509000,223,213,0
422,m,,,252000,609,3715,0
423,f,,,50,135,518,0
424,f,,,432,758,7058,0
425,m,,,6888,14,245,0
426,m,,,306,347,5708,0
427,f,,,14000,5,5878,0
428,f,,,166,631,343,0
429,f,,,145000,44,14190,0
430,m,,,603,506,4962,0
431,f,,,286,1289,2149,0
432,m,,,987000,13,1821,1
433,m,,,234000,13,790,1
434,f,,,6498,187,969,0
435,f,,,2,4,6,0
436,m,,,152000,0,2009,0
437,f,,,1020000,5,1241,0
438,f,,,833000,3,122,0
439,f,,,835000,5,1213,0
440,f,,,73000,1179,65680,0
441,f,,,122000,52,181,0
442,m,,,146000,2,126,0
443,m,,,1,75,0,1
444,f,,,1,216,0,1
445,f,,,124,1467,21,0
446,f,,,3,69,42,0
447,f,,,2392,14,134,0
448,m,,,1147,38,38,0
449,f,,,33000,138,4778,0
450,m,,,217,1,21,1
451,f,,,3332,728,1972,0
452,f,,,45,105,59,0
453,f,,,84,1236,1233,0
454,f,,,507,265,131,0
455,f,,,219,1308,34,0
456,f,,,5496,6149,1089,1
457,m,,,8,370,2105,0
458,f,,,43,928,822,0
459,f,,,87,1023,12866,0
460,f,,,7,106,9,0
461,f,,,4,0,1,0
462,f,,,2309,208,153,0
463,m,,,886,5,27,1
464,f,,,272,54,61,0
465,m,,,20000,42,732,1
466,f,,,273,21,74,1
467,f,,,208,29,65,0
468,f,,,3990,269,110,1
469,f,,,19,331,16,0
470,f,,,17,25,5,1
471,f,,,5,0,0,1
472,f,,,6,14,1,1
473,m,,,16,215,97,0
474,f,,,6,162,19,1
475,m,,,4,15,8,1
476,f,,,7,26,1,1
477,m,,,9,14,2,0
478,f,,,2,24,1,0
479,m,,,7,0,0,1
480,f,,,5,2,0,0
481,f,,,196,86,25,0
482,m,,,805,29,28,0
483,m,,,658,895,1387,0
484,m,,,24000,218,420,0
485,f,,,24,289,780,0
486,f,,,158,564,1531,0
487,f,,,135,519,168,0
488,f,,,184,0,3,0
489,f,,,18000,65,100,0
490,m,,,842,31,85,0
491,m,,,464,6,142,0
492,f,,,646,32,85,0
493,f,,,649,163,20,0
494,f,,,77000,13,39,0
495,f,,,850,694,1116,0
496,f,,,27,763,2106,0
497,f,,,406,1443,1265,0
498,m,,,144000,1064,123,0
499,f,,,287000,643,142,0
500,f,,,2,51,21,1
501,f,,,2433000,99,3340,0
502,f,,,1699,72,387,0
503,f,,,262000,1465,8863,0
504,m,,,3545,519,4116,0
505,f,,,418000,1000,5716,0
506,f,,,1902,308,771,0
507,f,,,11000,117,618,0
508,f,,,67000,684,611,1
509,f,,,123000,1112,2749,0
510,f,,,6222,41,383,0
511,f,,,150000,382,3566,0
512,m,,,1,120,23,0
513,m,,,2,1179,12,0
514,m,,,78000,2791,1919,0
515,m,,,32000,597,670,0
516,f,,,23000,755,3768,0
517,m,,,81,24,13,0
518,m,,,17,441,566,0
519,m,,,75000,11,91,0
520,m,,,1333,176,163,0
521,f,,,28000,772,2437,0
522,m,,,9630,749,2069,0
523,f,,,24000,562,966,0
524,f,,,45000,673,1900,0
525,f,,,6709,1435,2233,0
526,m,,,122000,2309,1064,0
527,m,,,15000,91,359,0
528,m,,,76000,746,1744,0
529,m,,,1517,0,232,0
530,f,,,21,145,30,1
531,m,,,106000,479,971,0
532,m,,,1560,374,655,0
533,m,,,18000,376,197,0
534,f,,,6344,1827,7350,0
535,f,,,16000,1246,1171,0
536,m,,,585,310,1991,0
537,m,,,82000,6,6202,0
538,f,,,35000,681,2850,0
539,f,,,20000,701,371,0
540,m,,,2203,614,500,0
541,m,,,112000,563,1319,0
542,m,,,13000,92,225,0
543,f,,,2,187,7,0
544,m,,,1,101,28,0
545,f,,,21,710,1751,0
546,m,,,44,1323,12,1
547,m,,,89000,141,1929,1
548,f,,,1106,367,459,0
549,f,,,28000,811,960,0
550,f,,,8565,302,297,0
551,m,,,502000,199,1532,0
552,f,,,469,2417,10017,0
553,f,,,6045,1383,663,0
554,f,,,4507,889,890,0
555,f,,,13000,754,6371,0
556,m,,,39000,69,38,0
557,m,,,2241,471,190,0
558,f,,,4686,409,41,0
559,m,,,2,526,826,0
560,f,,,106,843,98,0
561,f,,,347,445,3032,0
